JongName,CurJuka,DungRak,Debi,PrevJuka,Volume,Money,StartJuka,HighJuka,LowJuka,High52,Low52,UpJuka,DownJuka,Per,Amount,FaceJuka
삼에스코리아,"2,380",5,15,"2,395","262,370","622,957,855","2,380","2,400","2,355","3,795","1,370","3,110","1,680",74.38,"44,802,511",500
AJ네트웍스보통주,"3,270",2,30,"3,240","103,720","338,180,150","3,270","3,300","3,230","5,140","1,970","4,210","2,270",3.33,"46,822,295","1,000"
AK홀딩스보통주,"18,000",2,350,"17,650","31,311","559,321,150","17,700","18,000","17,700","38,000","12,000","22,900","12,400",8.3,"13,247,561","5,000"
에이피에스홀딩스,"9,130",2,300,"8,830","574,955","5,182,407,950","8,880","9,130","8,850","13,800","5,000","11,450","6,190",-61.69,"20,394,221",500
에이피시스템,"25,750",5,50,"25,800","251,482","6,490,138,900","25,900","26,100","25,600","34,450","20,500","33,500","18,100",38.38,"14,480,227",500
에이피위성,"8,300",2,30,"8,270","89,819","736,109,300","8,210","8,310","8,070","8,380","4,850","10,750","5,790",162.75,"15,014,804",500
BYC보통주,"219,500",2,"4,500","215,000","1,213","265,426,000","215,000","222,500","215,000","260,000","135,500","279,500","150,500",6.6,"624,615","5,000"
씨제이이엔엠,"126,000",2,"2,100","123,900","296,895","37,597,218,700","125,400","128,900","123,900","174,000","81,500","161,000","86,800",23.73,"21,929,154","5,000"
씨제이프레시웨이,"15,900",2,350,"15,550","67,267","1,065,920,550","15,450","16,000","15,450","28,800","11,700","20,200","10,900",36.64,"11,871,586","1,000"
CMG제약,"4,585",5,85,"4,670","3,328,661","15,479,868,815","4,675","4,775","4,555","4,790","2,595","6,070","3,270",183.4,"138,892,244",500
씨에스,"2,880",2,160,"2,720","3,656,358","10,716,793,845","2,750","3,035","2,710","3,655","1,260","3,535","1,905",-102.86,"18,835,150",500
씨에스에이코스믹,"4,170",,0,"4,170",0,0,0,0,0,"4,170","4,170","5,420","2,920",-10.78,"37,072,045",500
CS홀딩스보통주,"61,300",5,700,"62,000","5,625","347,994,200","62,200","63,400","61,300","77,800","35,350","80,600","43,400",7.27,"1,154,482","5,000"
DB Inc.보통주,728,2,1,727,"527,037","382,741,170",735,735,722,896,476,945,509,31.65,"201,173,933",500
디엠에스,"7,840",5,20,"7,860","448,759","3,525,406,410","7,950","7,990","7,750","7,860","2,400","10,200","5,510",10.21,"23,062,487",500
디알비동일보통주,"6,700",5,130,"6,830","92,934","628,946,470","6,800","6,910","6,680","8,060","3,030","8,870","4,790",14.53,"19,930,000",500
E1보통주,"38,650",5,150,"38,800","15,397","596,207,900","38,850","39,250","38,350","50,800","22,400","50,400","27,200",-5.18,"6,860,000","5,000"
이원다이애그노믹스,"16,450",5,"1,100","17,550","2,939,060","48,963,572,450","16,250","17,150","16,250","19,800","4,820","22,800","12,300",-69.41,"38,565,361",100
이지,"9,000",2,170,"8,830","101,906","916,758,540","8,810","9,240","8,810","9,840","4,790","11,450","6,190",-90.91,"7,500,000","1,000"
이엠따블유,"2,780",,0,"2,780",0,0,0,0,0,"2,780","2,780","3,610","1,950",23.17,"31,784,197",500
지에이치신소재,"3,770",2,5,"3,765","271,705","1,035,023,455","3,825","3,900","3,740","4,880","2,155","4,890","2,640",18.48,"11,000,000",500
그랜드코리아레저보통주,"13,100",2,150,"12,950","533,417","6,942,486,250","13,050","13,100","12,900","22,250","10,900","16,800","9,100",11.2,"61,855,670",500
그레이트리치과기유한공사,"1,320",5,15,"1,335","131,171","173,124,285","1,340","1,340","1,310","2,670",917,"1,735",935,,"67,375,000",0
글로벌스탠다드테크놀로지,"20,300",5,250,"20,550","140,436","2,853,603,650","20,500","20,600","20,200","22,450","6,120","26,700","14,400",10.1,"9,317,745",500
지에스글로벌보통주,"1,730",2,10,"1,720","350,405","606,666,275","1,735","1,760","1,715","2,590",993,"2,235","1,205",-8.36,"82,533,764","2,500"
지에스리테일보통주,"33,850",2,500,"33,350","257,231","8,670,657,200","33,350","34,000","33,250","43,850","25,950","43,350","23,350",19.58,"77,000,000","1,000"
지에스홈쇼핑,"114,300",2,"1,200","113,100","41,747","4,763,029,200","114,300","114,900","113,500","163,100","88,600","147,000","79,200",6.23,"6,562,500","5,000"
금빛,784,2,1,783,"344,273","270,924,818",783,804,775,"3,955",753,"1,015",549,-.67,"48,350,590",500
에이치비테크놀러지,"2,215",2,10,"2,205","737,792","1,633,246,710","2,215","2,245","2,200","3,325","1,635","2,865","1,545",54.02,"78,990,426",500
HDC보통주,"11,250",5,50,"11,300","507,917","5,670,209,400","11,050","11,350","10,950","13,250","6,880","14,650","7,950",2.52,"59,741,721","5,000"
에이치디씨아이콘트롤스보통주,"8,600",5,70,"8,670","43,192","372,105,720","8,660","8,700","8,560","13,500","5,050","11,250","6,070",-24.02,"16,460,000",500
에이치디씨현대이피보통주,"4,970",2,250,"4,720","1,302,451","6,533,124,270","5,250","5,350","4,785","5,060","2,005","6,130","3,305",11.17,"31,900,000",500
HDC현대산업개발보통주,"22,400",5,400,"22,800","1,056,398","23,763,284,250","22,600","22,850","22,100","36,100","12,600","29,600","16,000",2.57,"65,907,330","5,000"
에이치알에스,"3,300",2,60,"3,240","121,236","399,407,495","3,250","3,340","3,225","4,200","1,275","4,210","2,270",55,"16,354,800",500
에이치에스디엔진보통주,"4,930",2,65,"4,865","691,671","3,414,875,140","4,880","5,030","4,875","5,600","1,895","6,320","3,410",-3.92,"32,947,142","1,000"
아이에스시,"20,950",5,650,"21,600","383,315","8,062,133,850","21,900","21,900","20,700","22,600","5,920","28,050","15,150",67.36,"14,142,508",500
아이티엑스엠투엠,"1,695",5,35,"1,730","137,428","234,121,850","1,750","1,760","1,665","2,500","1,180","2,245","1,215",-5.49,"29,187,677",500
JW생명과학보통주,"20,250",5,300,"20,550","276,700","5,685,750,350","20,500","21,050","20,150","24,800","10,700","26,700","14,400",14.62,"15,834,554","2,500"
제이더블유신약,"5,820",2,60,"5,760","609,377","3,567,538,340","5,760","6,050","5,760","5,910","2,795","7,480","4,040",166.29,"41,667,166",500
JW중외제약보통주,"38,750",2,"1,450","37,300","1,634,103","64,879,791,200","37,000","41,800","37,000","41,500","19,400","48,450","26,150",-32.4,"20,920,054","2,500"
JW홀딩스 보통주,"5,600",2,50,"5,550","237,530","1,343,055,340","5,550","5,730","5,550","6,830","3,700","7,210","3,890",-11.11,"66,452,155",500
제이와이피엔터테인먼트,"35,200",5,200,"35,400","1,382,162","49,188,918,650","35,150","36,800","34,400","35,400","15,350","46,000","24,800",37.17,"35,494,992",500
케이비아이메탈,"1,310",2,25,"1,285","162,574","212,088,575","1,285","1,320","1,285","1,780",745,"1,670",900,6.68,"32,950,848",500
KB오토시스,"6,540",3,0,"6,540","8,217","53,516,850","6,540","6,640","6,420","6,880","4,195","8,500","4,580",7.03,"11,500,000",500
케이씨씨건설,"8,120",2,70,"8,050","110,451","891,802,560","8,060","8,250","7,950","8,050","3,600","10,450","5,640",6.16,"21,400,000","5,000"
케이씨아이,"10,950",2,150,"10,800","116,267","1,264,855,350","10,850","10,950","10,700","11,000","5,870","14,000","7,600",10.32,"11,270,000",500
케이씨그린홀딩스보통주,"4,360",5,20,"4,380","134,637","583,703,610","4,370","4,425","4,295","5,220","2,320","5,690","3,070",11.82,"22,434,980",500
케이씨코트렐보통주,"6,170",5,40,"6,210","249,077","1,540,770,780","6,200","6,270","6,150","7,340","2,685","8,070","4,350",41.41,"13,000,000",500
KD,495,,0,495,0,0,0,0,0,495,495,643,347,-11,"78,353,304",500
케이이씨 보통주,805,5,7,812,"357,506","290,186,418",809,817,805,"1,230",481,"1,055",569,-4.82,"116,706,940",500
케이지이티에스,"4,835",2,390,"4,445","6,340,700","29,723,071,645","4,495","4,860","4,425","4,745","2,185","5,770","3,115",1.73,"36,000,000",500
케이지모빌리언스,"10,900",2,200,"10,700","1,437,961","15,882,805,150","11,000","11,300","10,750","13,800","3,145","13,900","7,500",17.61,"38,825,568",500
케이지이니시스,"23,450",3,0,"23,450","748,722","17,867,274,300","23,700","24,450","23,350","25,950","13,250","30,450","16,450",12.7,"27,904,434",500
KG케미칼보통주,"22,900",2,"1,050","21,850","3,032,443","71,945,959,050","22,800","25,750","22,200","21,950","8,300","28,400","15,300",2.98,"13,013,232","5,000"
케이에이치바텍,"22,950",5,250,"23,200","507,831","11,638,366,150","23,300","23,350","22,700","25,950","8,140","30,150","16,250",-44.31,"23,637,484",500
KISCO홀딩스보통주,"11,200",3,0,"11,200","21,437","239,246,550","11,050","11,300","11,050","13,450","8,030","14,550","7,850",3.85,"18,476,380","1,000"
케이엠에이치,"8,110",2,40,"8,070","111,416","894,967,710","8,040","8,120","7,960","8,160","4,285","10,450","5,650",12.14,"22,667,982",500
케이엠에이치하이텍,"1,285",2,5,"1,280","694,786","886,461,840","1,280","1,290","1,260","1,370",629,"1,660",900,26.77,"46,885,499",500
